opponent,date,is_home,pts,fgm,fga,3ptm,3pta,ftm,fta,fast_break_pts,paint_pts,second_chance_pts,bench_pts,assists,off_reb,def_reb,stl,blk,to,team_fouls,biggest_lead,possession,opp_pts,opp_fgm,opp_fga,opp_3ptm,opp_3pta,opp_ftm,opp_fta,opp_fast_break_pts,opp_paint_pts,opp_second_chance_pts,opp_bench_pts,opp_assists,opp_off_reb,opp_def_reb,opp_stl,opp_blk,opp_to,opp_team_fouls,opp_biggest_lead,opp_possession
PHX,10/30/1986,1,96,43,78,8,25,0,0,13,50,4,26,31,2,39,0,2,4,14,10,1382,94,38,81,2,2,12,18,15,38,0,10,24,8,32,4,0,0,4,17,1494
DEN,11/11/1986,0,106,46,71,2,4,11,11,9,57,4,8,37,6,32,6,2,6,8,31,1327,75,30,74,0,4,13,17,4,26,4,18,17,15,20,6,0,6,10,4,1309
LAC,01/12/1987,0,90,40,78,7,24,4,6,22,48,0,0,31,2,38,2,6,8,6,18,1338,86,38,85,2,8,4,4,35,62,0,10,26,6,39,4,4,2,4,4,1300
LAL,02/07/1987,1,97,39,77,6,22,10,12,11,57,0,12,32,2,33,4,4,4,6,13,1368,84,40,80,0,8,4,8,26,62,4,14,29,13,36,0,0,10,15,7,1269
DAL,02/20/1987,0,77,29,69,9,30,11,11,4,22,0,6,17,8,26,10,0,21,6,2,1487,106,48,79,0,2,8,10,44,84,9,32,38,6,32,17,0,11,6,35,1148
POR,02/26/1987,0,97,41,76,4,20,8,8,9,57,15,4,28,15,23,4,0,8,14,4,1439,101,39,66,2,6,19,24,9,57,4,39,21,8,20,6,2,4,6,18,1197
UTA,03/01/1987,1,97,40,70,4,17,9,9,22,70,9,4,35,4,43,4,0,14,6,29,1217,68,27,74,2,9,8,12,4,44,4,16,10,4,23,12,0,8,8,7,1419
HOU,03/15/1987,1,88,33,74,7,24,15,17,4,31,4,8,17,6,37,4,2,6,16,20,1342,90,37,86,0,8,15,19,18,62,22,24,12,15,38,4,4,4,8,9,1294
SAC,03/22/1987,0,73,33,67,6,24,0,0,4,31,0,10,17,9,30,4,2,12,0,11,1197,75,30,72,0,0,13,13,13,40,13,12,14,11,26,10,0,6,0,11,1197
SAS,03/29/1987,1,81,34,69,11,30,0,0,18,35,4,10,17,4,44,2,2,14,8,18,1261,75,32,87,2,13,6,8,18,31,4,38,22,10,30,15,2,2,0,15,1377
