rank	title	author_name	year	n_citation
1	Genetic Algorithms in Search, Optimization and Machine Learning	David E. Goldberg	1989	73362
2	The Design and Analysis of Computer Algorithms	Alfred V. Aho	1974	13227
3	Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference	Judea Pearl	1988	6589
4	Reducibility Among Combinatorial Problems	Richard M. Karp	2010	11580
5	Snakes: Active Contour Models	Michael Kass	1988	21256
6	New Directions in Cryptography	Whitfield Diffie	1976	17064
7	C4.5: Programs for Machine Learning	J. Ross Quinlan	1993	6906
8	Distinctive Image Features from Scale-Invariant Keypoints	David G. Lowe	2004	42508
9	A method for obtaining digital signatures and public-key cryptosystems	Ronald L. Rivest	1978	18861
10	Introduction to Modern Information Retrieval	Gerard Salton	1986	20878
11	A theory for multiresolution signal decomposition: the wavelet representation	Stéphane Mallat	1989	24182
12	Perceived usefulness, perceived ease of use, and user acceptance of information technology	Fred D. Davis	1989	27068
13	Algorithms for clustering data	Anil K. Jain	1988	11759
14	Capacity of multi-antenna Gaussian channels	Emre Telatar	1999	13734
15	Induction of Decision Trees	John Ross Quinlan	1986	19320
16	LIBSVM: A library for support vector machines	Chih-Chung Chang	2011	33016
17	The anatomy of a large-scale hypertextual Web search engine	Sergey Brin	1998	15600
18	A Tutorial on Support Vector Machines for Pattern Recognition	Christopher J. C. Burges	1998	19071
19	Fuzzy identification of systems and its applications to modeling and control	Tomohiro Takagi	1985	25835
20	Multilayer feedforward networks are universal approximators	Kurt Hornik	1989	17815
21	The Concept of a Linguistic Variable and its Application to Approximate Reasoning-I	Lotfi A. Zadeh	1975	12333
22	Support-Vector Networks	Corinna Cortes	1995	26114
23	Genetic algorithms + data structures=evolution programs	Zbigniew Michalewicz	1992	18006
24	Database resources of the National Center for Biotechnology Information.	David Wheeler	2004	5044
25	Chord: a scalable peer-to-peer lookup protocol for Internet applications	Ion Stoica	2003	9878
26	Mining association rules between sets of items in large databases	Rakesh Agrawal	1993	20548
27	Computer architecture: a quantitative approach	John L. Hennessy	1990	15567
28	The complexity of theorem-proving procedures	Stephen A. Cook	1971	7314
29	Fast Algorithms for Mining Association Rules in Large Databases	Rakesh Agrawal	1994	4650
30	The Pfam protein families database	Marco Punta	2000	11255
31	Ad-hoc on-demand distance vector routing	Charles E. Perkins	1999	26357
32	Indexing by Latent Semantic Analysis	Scott Deerwester	1990	12530
33	Fundamentals of speech recognition	Lawrence R. Rabiner	1993	10199
34	Computational geometry: an introduction	Franco P. Preparata	1985	2862
35	The capacity of wireless networks	Piyush Gupta	2000	9505
36	Eigenfaces vs. Fisherfaces: recognition using class specific linear projection	Peter N. Belhumeur	1997	12645
37	A performance comparison of multi-hop wireless ad hoc network routing protocols	Josh Broch	1998	6689
38	Robot vision	Berthold K. P. Horn	1986	5783
39	Reinforcement Learning: An Introduction	Richard S. Sutton	1999	29285
40	Bagging predictors	Leo Breiman	1996	16833
41	A robust layered control system for a mobile robot	Rodney A. Brooks	1986	10783
42	Handbook of Applied Cryptography	Alfred Menezes	1996	18201
43	Rough sets	Zdzisław Pawlak	1995	8819
44	Random sample consensus: a paradigm for model fitting with applications to image analysis and automated cartography	Martin A. Fischler	1981	7889
45	A simple transmit diversity technique for wireless communications	Siavash M. Alamouti	1998	16490
46	Working knowledge: how organizations manage what they know	Thomas H. Davenport	2000	16041
47	Time, clocks, and the ordering of events in a distributed system	Leslie Lamport	1978	9521
48	How to share a secret	Adi Shamir	1979	7090
49	Independent component analysis, a new concept?	Pierre Comon	1994	9460
50	RADAR: an in-building RF-based user location and tracking system	Paramvir Bahl	2000	9532
51	Cognitive radio: brain-empowered wireless communications	Simon Haykin	2005	14062
52	A training algorithm for optimal margin classifiers	Bernhard E. Boser	1992	9470
